feature,importance
total_cost,0.13660584024461844
Order_Value_INR,0.08157241695910875
cost_per_km,0.07255096183076545
order_complexity,0.06639041915744062
Distance_KM,0.06214488162134462
carrier_ontime_rate,0.049609807301182376
carrier_reliability_score,0.04952451780753779
carrier_avg_rating,0.048520648883123275
route_risk_index,0.04544997711603223
Destination_encoded,0.04394081860547435
Product_Category_encoded,0.04385193864005134
Traffic_Delay_Minutes,0.03939737337253167
order_day_of_week,0.03575405863930686
Origin_encoded,0.03411472921809889
Carrier_encoded,0.02163757089876616
priority_score,0.020684840708153202
Customer_Segment_encoded,0.01881415736903955
Special_Handling_encoded,0.01864701210930257
Priority_encoded,0.017014105843569296
segment_risk_factor,0.016550759487449697
Weather_Impact_encoded,0.014741100879341188
order_month,0.013631370948448539
warehouse_efficiency,0.013108607374758519
is_high_value,0.009296251380757013
is_weekend_order,0.008797078911303761
is_month_end,0.007453355212787585
is_international,0.006345064238413964
has_quality_issue,0.0038503352412922807
